"seed","n","p","q","arm","ok","beta_rmse","sigma_rel_frob","frob_Shat","sigma_trace","trace_ratio","sigma_collapse","sigma_runaway","secs","pass_abs","err"
11201,120,8,2,"gtmb_poisg",TRUE,0.156009242059127,0.999999999975169,9.3090057408654e-11,9.62548757945168e-11,5.48751445099218e-11,TRUE,FALSE,1.236,FALSE,"healthy"
11201,120,8,2,"gllvm_va",TRUE,0.156010170567091,0.999999999984787,1.16076055029698e-10,1.32783824805662e-10,7.57003893532209e-11,TRUE,FALSE,0.0910000000000011,FALSE,"ok"
11201,120,8,2,"gtmb_gh",TRUE,0.179529868234194,1.46760583013032,2.52748426747564,3.30513833027826,1.88426759685905,FALSE,FALSE,1.992,FALSE,"healthy"
11201,120,8,2,"gtmb_la",TRUE,0.179852333237897,1.28515333524663,2.34681077236071,3.11931858239551,1.77833129562034,FALSE,FALSE,1.038,FALSE,NA
11202,120,8,2,"gtmb_poisg",TRUE,0.182335939680557,0.999999999978568,6.16482395064167e-11,7.14385982275761e-11,5.1530926099395e-11,TRUE,FALSE,1.305,FALSE,"healthy"
11202,120,8,2,"gllvm_va",TRUE,0.182335864206509,0.999999999999606,4.72426200605539e-12,4.72598635093286e-12,3.40900380800954e-12,TRUE,FALSE,0.113,FALSE,"ok"
11202,120,8,2,"gtmb_gh",TRUE,0.225109628996822,1.7476985726273,2.06854990447149,2.84649347922798,2.05326600408973,FALSE,TRUE,2.214,FALSE,"healthy"
11202,120,8,2,"gtmb_la",TRUE,0.224029150843285,1.49308544062333,1.76739631464351,2.45459027863246,1.77057379890857,FALSE,FALSE,0.852,FALSE,NA
11203,120,8,2,"gtmb_poisg",TRUE,0.161306437817294,0.999999999964032,5.40933698017592e-11,7.38103388755573e-11,4.39436140720961e-11,TRUE,FALSE,1.223,FALSE,"healthy"
11203,120,8,2,"gllvm_va",TRUE,0.16130490293876,0.999999999999671,1.37321905135051e-11,1.56921008769413e-11,9.34242594495203e-12,TRUE,FALSE,0.0879999999999974,FALSE,"ok"
11203,120,8,2,"gtmb_gh",TRUE,0.181529778588499,1.78945863085936,3.08226044413854,4.15326030172719,2.47267890407283,FALSE,TRUE,1.751,FALSE,"healthy"
