"n","p","q","arm","n_seed","n_ok","beta_rmse_med","beta_rmse_mean","sigma_rel_frob_med","sigma_rel_frob_mean","frob_Shat_med","sigma_trace_med","trace_ratio_med","frac_collapse","frac_runaway","pass_abs","secs_med"
500,20,2,"gllvm_va",8,8,0.0627649630463219,0.0596245200590691,0.999999999901947,0.999999999741787,7.15072728000919e-10,7.20906177762147e-10,2.16763582304137e-10,1,0,0,2.00899999999999
500,20,2,"gtmb_gh",8,8,0.0646521347061777,0.0632775059174681,0.517494861282521,0.515556583039893,2.7690829384186,3.83625362320315,1.20619141407608,0,0,0.375,83.966
500,20,2,"gtmb_la",8,8,0.0650658455966879,0.0632174268059096,0.505190723303015,0.495547956624945,2.70025445936965,3.72974671673251,1.19569141831652,0,0,0.25,13.4735
500,20,2,"gtmb_poisg",8,8,0.06276525912819,0.0596245751122765,0.999999999795225,0.999999999557276,6.69007157489744e-10,7.7775347153442e-10,2.44941701115709e-10,1,0,0,52.186
