"family","n_slope","n_sp","n_rep","seed","x_sd","slope_scale","conv","pdHess","max_sigma_diff","slope_var_ratio_1","slope_var_ratio_2","slope_var_ratio_3","slope_var_ratio_4","slope_var_ratio_min","slope_var_ratio_max","slope_var_ratios","sigma_eigen_min","sigma_eigen_max","sigma_condition","truth_condition","fit_objective","fit_iterations","family_param_min","family_param_max","eta_min","eta_max","eta_sd","x_abs_cor_max","response_mean","response_min","response_max","response_zero_frac","response_boundary_frac","strict_recovered","loose_recovered","failure_reason","note"
"poisson",1,600,10,402,1,1,0,TRUE,0.1356,0.814,0.966,NA,NA,0.814,0.966,"0.814;0.966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"nbinom2",1,600,10,402,1,1,0,TRUE,0.0995,0.847,1.036,NA,NA,0.847,1.036,"0.847;1.036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Gamma",1,600,10,402,1,1,0,TRUE,0.1294,0.933,0.97,NA,NA,0.933,0.97,"0.933;0.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Beta",1,600,10,402,1,1,0,TRUE,0.102,1.036,1.416,NA,NA,1.036,1.416,"1.036;1.416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"binomial",1,600,10,402,1,1,0,TRUE,0.109,0.865,1.012,NA,NA,0.865,1.012,"0.865;1.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"ordinal_probit",1,600,10,402,1,1,0,TRUE,0.1797,0.772,0.879,NA,NA,0.772,0.879,"0.772;0.879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"gaussian",1,300,10,403,1,1,0,TRUE,0.0788,0.912,0.937,NA,NA,0.912,0.937,"0.912;0.937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"poisson",1,300,10,403,1,1,0,TRUE,0.1154,0.711,1.246,NA,NA,0.711,1.246,"0.711;1.246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"nbinom2",1,300,10,403,1,1,0,TRUE,0.2252,0.687,1.758,NA,NA,0.687,1.758,"0.687;1.758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Gamma",1,300,10,403,1,1,0,TRUE,0.1078,0.73,0.953,NA,NA,0.73,0.953,"0.73;0.953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
