"seed","truth","converged","b_err","wald_cov","prof_cov","tdf_cov","cell_id"
10001,0.525914159017133,FALSE,NA,NA,NA,NA,"spatial-S100-K1"
10002,0.525914159017133,TRUE,0.251249012030549,FALSE,FALSE,FALSE,"spatial-S100-K1"
10003,0.525914159017133,TRUE,0.0640844176012745,TRUE,TRUE,TRUE,"spatial-S100-K1"
