"seed","n","p","q","arm","ok","healthy","beta_rmse","sigma_rel_frob","frob_Shat","sigma_collapse","sigma_runaway","phi_mean","max_g_fe","max_abs_loading","secs","pass_abs","err"
11407,120,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11408,120,8,2,"gtmb_va",TRUE,FALSE,0.135293308916938,0.823667408774909,1.86744799007863,FALSE,FALSE,12819.7256559466,0.0477025022241174,NA,13.826,FALSE,"status=failed_health_gate"
11408,120,8,2,"gtmb_la",TRUE,TRUE,0.130291974914865,0.362658283473796,1.32998132287205,FALSE,FALSE,5.7331821697367,0.000467429027620425,0.635666281164935,0.408999999999999,TRUE,NA
11408,120,8,2,"gllvm_la",TRUE,TRUE,0.0817559471421533,0.685262323157635,0.667776606630645,FALSE,FALSE,4841705.04077901,NA,0.669921270745926,3.69600000000001,FALSE,NA
11408,120,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11409,120,8,2,"gtmb_va",TRUE,FALSE,0.0669965243814037,1.58388942910237,2.20038282717929,FALSE,TRUE,7650.65500932223,0.357237392241596,NA,42.991,FALSE,"status=failed_health_gate"
11409,120,8,2,"gtmb_la",TRUE,TRUE,0.0617012472629653,0.453227935793667,0.887415155525741,FALSE,FALSE,5.07367890246097,0.000213838112875897,0.538946889623676,0.361000000000004,TRUE,NA
11409,120,8,2,"gllvm_la",TRUE,TRUE,0.0710518514599971,0.711158405465743,0.350495420270913,FALSE,FALSE,5.10471496001097,NA,0.332928315047511,1.58199999999999,FALSE,NA
11409,120,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.00100000000000477,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11410,120,8,2,"gtmb_va",TRUE,FALSE,0.0855389280179096,0.488897048762804,1.95255196184054,FALSE,FALSE,5.52900288363838,9.11223805511487e-05,NA,1.926,TRUE,"status=failed_health_gate"
11410,120,8,2,"gtmb_la",TRUE,TRUE,0.0859479972967831,0.458313529639985,1.85403531454113,FALSE,FALSE,5.47978282417937,0.000102070479587046,0.756553469209085,0.414999999999999,TRUE,NA
11410,120,8,2,"gllvm_la",TRUE,TRUE,0.0852170576938413,0.654274783757475,0.70129683706968,FALSE,FALSE,5.47373959741921,NA,0.468931125311518,1.63,FALSE,NA
11410,120,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11411,120,8,2,"gtmb_va",TRUE,FALSE,0.0843266245148186,0.676136077618968,1.4441962059268,FALSE,FALSE,5.83060007870997,3.05510759142091e-05,NA,2.218,FALSE,"status=failed_health_gate"
11411,120,8,2,"gtmb_la",TRUE,TRUE,0.0845074103293356,0.603094209899858,1.35121310685295,FALSE,FALSE,5.69340894619238,0.000252946216454719,0.625392201076388,0.390000000000001,FALSE,NA
11411,120,8,2,"gllvm_la",TRUE,TRUE,0.0928186203794606,0.695374216843849,0.51814604631369,FALSE,FALSE,5.69262824611282,NA,0.384144812546656,1.726,FALSE,NA
11411,120,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.000999999999997669,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
